titulo,ubicacion,precio_valor,precio_moneda,dorms,baños,superficie_m2
Domingo Aramburu Y José L Terra-un Dormitorio Y Terraza Luc,"DOMINGO ARAMBURU  1686, La Comercial, Montevideo",15000,$,1,1,45
Se Alquila Duplex Nuevos Y Semi Nuevos  De 2 Dorm Con Lugar  P/ Auto Y Patio Al Fdo !!,"AVENIDA LEZICA ENTRE AVIADORES CIVILES Y CNO MELILLA 6680, Lezica, Montevideo",20900,$,2,1,60
Centro A Estrenar! Uruguay Y Gaboto P Alto Balcon Muy Luminoso  Gge Fijo!,"Av. Uruguay 1583, Montevideo, Centro, Montevideo",30000,$,1,1,43
Alquiler De Apartamento Tipo Duplex Dos Dormitorios En Calle La Paz. Cordón. Villa Muñoz,"La Paz 2016, Montevideo, Cordón, Montevideo",27000,$,2,2,48
"Apt. Totalmente Remodelado,sin Gastos Comunes, Cercanias De Avd Gral.flores, Facultad Medicina, Quimica, Mam, Zona Mayorista, Exlocomoción, Todos Los Servicios","Dr. Domingo Aramburu 1500 - 1800, Montevideo, Goes, Montevideo",27500,$,2,1,65
"Habitaciones Residencia Estudiantil, Coliving","Soriano 1073, Centro, Montevideo",9500,$,N/A,10,300
"Habitaciones, Cuartos, Alojamiento, Residencia, Pension, Piezas, Hogar, Vista Al Mar","Río Negro 1093, Montevideo Departamento De Montevideo, Uruguay, Barrio Sur, Montevideo",8900,$,N/A,7,750
Publicado 27/10 Aptos Alquiler En Unión Y Pérez Castellanos,"Av. 8 De Octubre 3015, Montevideo, La Blanqueada, Montevideo",17500,$,1,1,50
2 O 3 Dorm Al Frente Reciclado. Excelente Ubicación,"Paysandú 1164, Montevideo, Centro, Montevideo",22500,$,2,1,65
Residencia Estudiantil Femenina / Coliving Estudiantes / Renta De Habitaciones Para Estudiantes,"Simón Bolivar 1200 - 1500, Montevideo, Parque Batlle, Montevideo",10000,$,N/A,5,255
Residencia Pension Hombres Mujeres Impecable Estado Reco,"Carlos Reyles 1831, Aguada, Montevideo",5500,$,N/A,3,300
Peñarol !!!! Se Alquila Muy Linda Y Cómoda Propiedad !!!,"PEÑAROL BIEN UBICADA 0000, Peñarol, Montevideo",15900,$,2,1,45
Casa En Alquiler En Ciudad De La Costa,"Bahía 1711, 15002 Ciudad De La Costa, Departamento De Canelones, Uruguay, Shangrilá, Ciudad De La Costa, Canelones",22000,$,1,1,28
"Apartamento Aidy Grill, Punta Del Este. Reservá Ahora, No Te Lo Pierdas!! | Alquiler Temporal - 1 Dormitorio","3339+Q76, Orinoco, 20100 Punta Del Este, Departamento De Maldonado, Uruguay, Aidy Grill, Punta Del Este, Maldonado",100,US$,1,1,37
Alquilo Hermosa Cabaña De 2 Dormitorios En Barra Del Chui Brasil,"Rua B  339, Barra Del Chuy, Rocha",1500,$,2,1,55
Apartamento Alquiler Pocitos Con Balcón,"Juan María Pérez, Montevideo, Pocitos, Montevideo",38000,$,2,2,70
"Casa Muy Luminosa , Con Entrada Para Vehiculo, En Barrio Los Bulevares. Próximo A Luis Batlle Berres Y A La Uam. A 1 Cuadra Lineas Bus, Super ,panadería  Y Red De Cobranzas.","El Asentamiento, Montevideo, Paso De La Arena, Montevideo",13000,$,1,1,38
Dueño. 18 De Julio Y Río Negro. Todo Al Frente. Entre Plaza Entrevero Y Cagancha. 6a Piso.,"Av. 18 De Julio 1071, 11100 Montevideo, Departamento De Montevideo, Uruguay, Centro, Montevideo",31000,$,2,1,66
Alquilo Apartamento Un Dormitorio Con Cochera En Citadino Prado,"Jujuy 2780, Montevideo, Bella Vista, Montevideo",25000,$,1,1,44
