"","codcomp","depto","secc","seg","zona","codloc","nomdepto","nomloc","nombarrioi","ccz","v_tot","v_tot_oc","v_tot_des","v_par","v_par_oc","v_par_des","v_col","v_col_oc","v_col_des","p_tot","p_tot_fem","p_tot_masc","p_part","p_part_fem","p_part_masc","p_col","p_col_fem","p_col_masc"
"1","0113051054","01","13","051","054","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",5,5,0,5,5,0,0,0,0,15,7,8,13,6,7,0,0,0
"2","1602203400","16","02","203","400","16621","SAN JOSE","RODRIGUEZ","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","1001076851","10","01","076","851","10020","MALDONADO","MALDONADO","N/A","N/A",27,21,6,25,19,6,2,2,0,59,33,26,59,33,26,0,0,0
"4","0113033030","01","13","033","030","01020","MONTEVIDEO","MONTEVIDEO","LA PALOMA, TOMKINSON","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","0108012004","01","08","012","004","01020","MONTEVIDEO","MONTEVIDEO","AGUADA","01",1,1,0,1,1,0,0,0,0,2,1,1,2,1,1,0,0,0
"6","0118115016","01","18","115","016","01020","MONTEVIDEO","MONTEVIDEO","POCITOS","05",9,6,3,9,6,3,0,0,0,13,5,8,13,5,8,0,0,0
"7","0113235404","01","13","235","404","01020","MONTEVIDEO","MONTEVIDEO","LA PALOMA, TOMKINSON","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","0113235407","01","13","235","407","01020","MONTEVIDEO","MONTEVIDEO","LA PALOMA, TOMKINSON","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","0115305009","01","15","305","009","01020","MONTEVIDEO","MONTEVIDEO","CORDON","02",153,126,27,153,126,27,0,0,0,238,130,108,231,127,104,0,0,0
"10","0113012401","01","13","012","401","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","1206001008","12","06","001","008","12827","RIO NEGRO","VILLA MARIA","N/A","N/A",2,2,0,2,2,0,0,0,0,5,2,3,5,2,3,0,0,0
"12","1701008001","17","01","008","001","17220","SORIANO","MERCEDES","N/A","N/A",31,27,4,31,27,4,0,0,0,56,29,27,55,29,26,0,0,0
"13","0113012014","01","13","012","014","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",36,36,0,36,36,0,0,0,0,95,47,48,86,43,43,0,0,0
"14","0113012606","01","13","012","606","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",18,17,1,18,17,1,0,0,0,67,29,38,41,23,18,0,0,0
"15","0113012853","01","13","012","853","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",57,56,1,57,56,1,0,0,0,149,83,66,131,73,58,0,0,0
"16","0113044015","01","13","044","015","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",41,39,2,41,39,2,0,0,0,103,46,57,98,45,53,0,0,0
"17","0113046007","01","13","046","007","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",24,22,2,24,22,2,0,0,0,63,36,27,60,34,26,0,0,0
"18","0113049016","01","13","049","016","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",10,10,0,10,10,0,0,0,0,21,13,8,21,13,8,0,0,0
"19","0113051402","01","13","051","402","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","0113213850","01","13","213","850","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",27,27,0,27,27,0,0,0,0,97,49,48,86,43,43,0,0,0
"21","0113152142","01","13","152","142","01020","MONTEVIDEO","MONTEVIDEO","CASABO, PAJAS BLANCAS","17",119,118,1,119,118,1,0,0,0,341,175,166,299,158,141,0,0,0
