url,direccion,checked_at
https://www.gallito.com.uy/casa-en-alquiler-villa-espaã±ola-inmuebles-28133644,Odense esquina Pamplona - Ref: 269 y Villa Española,2025-11-07T00:24:23.766584+00:00
https://www.gallito.com.uy/casa-en-alquiler-uniã³n-inmuebles-28133645,Odense esquina Pamplona - Ref: 268 y Union,2025-11-07T00:24:25.454018+00:00
https://www.gallito.com.uy/alquiler-apartamento-de-1-dormitorio-en-tres-cruces-inmuebles-28086371,Cassinoni y Rodo,2025-11-07T00:24:27.177964+00:00
https://www.gallito.com.uy/apartamento-en-alquiler-en-prado-agraciada-y-gil-prime-inmuebles-27896933,Avenida Agraciada y Esquina,2025-11-07T00:24:29.292588+00:00
https://www.gallito.com.uy/alquiler-mono-en-pocitos-inmuebles-28027734,26 de Marzo y Pereira,2025-11-07T00:24:31.095073+00:00
https://www.gallito.com.uy/alquiler-de-oficina-o-local-en-el-corazon-de-carrasco-inmuebles-27438585,COSTA RICA y AROCENA,2025-11-07T00:24:32.754462+00:00
https://www.gallito.com.uy/casa-en-alquiler-la-blanqueada-inmuebles-28032269,Bulevar Artigas próximo a Garibaldi  - Ref: 253 y La Blanqueada,2025-11-07T00:24:34.823842+00:00
https://www.gallito.com.uy/alquiler-apartamento-en-zona-de-jacinto-vera-inmuebles-28086581,JACINTO VERA y LAFINUR,2025-11-07T00:24:36.520672+00:00
https://www.gallito.com.uy/apartamento-en-alquiler-1-dormitorio-1-baño-inmuebles-27624846,Ref: 13990 y Ciudad Vieja,2025-11-07T00:24:38.479824+00:00
https://www.gallito.com.uy/alquiler-un-dormitorio-la-blanqueada-con-patio-a-estrenar-inmuebles-27854801,Dámaso Antonio Larrañaga y Urquiza,2025-11-07T00:24:40.264359+00:00
https://www.gallito.com.uy/imperdible-apto-2-dorm-con-patio-exclusivo-terraza-inmuebles-27892280,Bv. Batlle y Ordóñez y Mateo Cabral,2025-11-07T00:24:42.420344+00:00
https://www.gallito.com.uy/piso-alto-con-vista-despejada-inmuebles-27926616,Estanislao Lopez y Malvin,2025-11-07T00:24:44.178756+00:00
https://www.gallito.com.uy/local-en-una-muy-buena-ubicacion-inmuebles-25514385,Prox Solano Gracía y Rambla,2025-11-07T00:24:45.926651+00:00
https://www.gallito.com.uy/alquiler-3-dormitorios-y-garage-en-pocitos-inmuebles-27642633,... y Pocitos,2025-11-07T00:24:47.584926+00:00
https://www.gallito.com.uy/super-oportunidad-de-alquiler-no-dude-en-llamar-inmuebles-24607182,MAGALLANES y Guayabos,2025-11-07T00:24:49.418530+00:00
https://www.gallito.com.uy/a-estrenar-cochera-entrada-indep-amplio-divino-inmuebles-27896144,De pena y Caceres,2025-11-07T00:24:51.346619+00:00
https://www.gallito.com.uy/alquiler-apartamento-punta-carretas-golf-reciclado-a-nuevo-c-inmuebles-27486015,"Av. Julio Maria Sosa 2261, 11300 Montevideo y Patria",2025-11-07T00:24:53.033388+00:00
https://www.gallito.com.uy/hermoso-apartamento-en-alquiler-en-zona-de-buceo-2-dormitor-inmuebles-28082765,Ramos y Espinosa,2025-11-07T00:24:54.725006+00:00
https://www.gallito.com.uy/apartamento-en-alquiler-goes-inmuebles-28125490,Martin C Martínez esquina Domingo Aramburú  - Ref: 267 y Goes,2025-11-07T00:24:56.520542+00:00
https://www.gallito.com.uy/alquiler-de-apartamento-de-1-dormitorio-en-pocitos-a-estrena-inmuebles-28069962,Franzini y Sarmiento,2025-11-07T00:24:58.138824+00:00
https://www.gallito.com.uy/amueblado-impecable-apartamento-de-1-dorm-opcion-garage-inmuebles-27907521,... y Pocitos,2025-11-07T00:25:00.152111+00:00
https://www.gallito.com.uy/alquiler-apartamento-amoblado-de-2-dormitorios-punta-carret-inmuebles-28087189,ACHIRAS y LORENZO JUSTINO PEREZ,2025-11-07T00:25:01.820072+00:00
https://www.gallito.com.uy/alquiler-apartamento-2-dormitorios-casi-rambla-garaje-reci-inmuebles-28031090,... y Punta Carretas,2025-11-07T00:25:03.929481+00:00
https://www.gallito.com.uy/juan-cabal-y-martin-fierro-inmuebles-27977014,Juan Cabal y Martín Fierrto,2025-11-07T00:25:05.464596+00:00
https://www.gallito.com.uy/imperial-alquiladuplex-2-dorm-cochera-y-patio-cparriller0-inmuebles-27870191,MANUEL MELENDEZ y CHIMBORAZO,2025-11-07T00:25:07.244592+00:00
https://www.gallito.com.uy/apartamento-en-alquiler-1-dormitorio-1-baño-inmuebles-28125678,Ref: 14730 y Centro Montevideo,2025-11-07T00:25:08.917661+00:00
https://www.gallito.com.uy/alquiler-apartamento-1-dormitorio-la-blanqueada-inmuebles-28098411,Canstatt y Luis Alberto de Herrera. A pasos de Bv. Batlle y Ordóñez. - y La Blanqueada,2025-11-07T00:25:11.497331+00:00
https://www.gallito.com.uy/alquiler-en-el-prado-inmuebles-28129667,Pataleon sotelo y Pantaleon sotelo,2025-11-07T00:25:13.167370+00:00
https://www.gallito.com.uy/con-garage-3-dorm-2-baños-impecable-estado-inmuebles-27941712,Bv. Gral. Artigas y Av Rivera,2025-11-07T00:25:15.113251+00:00
https://www.gallito.com.uy/casa-planta-baja-2-dormitorios-parrillero-inmuebles-28097886,Guillermo Tell y Ramon Marquez,2025-11-07T00:25:16.668852+00:00
https://www.gallito.com.uy/baldovino-alq-casa-arenal-grande-2541-villa-muñoz-inmuebles-27831960,Arenal Grande y Concepción Arenal,2025-11-07T00:25:18.479315+00:00
https://www.gallito.com.uy/apartamento-en-alquiler-tres-cruces-inmuebles-27906830,Cufré esquina General Pagola  - Ref: 235 y Tres Cruces,2025-11-07T00:25:20.170613+00:00
https://www.gallito.com.uy/2-dormitorios-azotea-comun-gastos-comunes-s-5300-inmuebles-28039601,Ramos 4234 y Solano López,2025-11-07T00:25:21.938125+00:00
https://www.gallito.com.uy/alquiler-apartamento-punta-carretas-delrey-propiedades-inmuebles-27616311,F.Vidal y 21 de setiembre,2025-11-07T00:25:23.614991+00:00
https://www.gallito.com.uy/alquieler-de-casa-de-2-dormitorios-sin-cochera-inmuebles-28106998,Bernardo susviela y Ramon Caseres,2025-11-07T00:25:25.340699+00:00
https://www.gallito.com.uy/apto-2-dorm-amueblado-gge-excelente-zona-inmuebles-28077174,Marsella y Av. La Playa,2025-11-07T00:25:27.259147+00:00
https://www.gallito.com.uy/divina-a-estrenar-con-patio-parrillero-y-lugar-coche-inmuebles-27342821,Zanja Reyuna y ideario artiguista,2025-11-07T00:25:28.959797+00:00
https://www.gallito.com.uy/casa-reciclada-y-soleada-en-alquiler-–-union-inmuebles-28125238,Juan B. Morelli y Larravide,2025-11-07T00:25:30.694184+00:00
https://www.gallito.com.uy/alquiler-de-oficina-en-ciudad-vieja-buen-edificio-inmuebles-25381989,Misiones y Rincón,2025-11-07T00:25:32.657616+00:00
https://www.gallito.com.uy/alquiler-de-apartamento-2-dormitorios-y-servicio-en-pocitos-inmuebles-27642631,... y Pocitos,2025-11-07T00:25:34.318341+00:00
https://www.gallito.com.uy/apartamento-en-alquiler-capurro-inmuebles-27854348,Juan María Gutiérrez esquina Santiago Labandera  - Ref: 226 y Capurro,2025-11-07T00:25:36.057972+00:00
