titulo,ubicacion,precio_valor,precio_moneda,dorms,banos,baños,superficie_m2,imagen_url,fuente,url
Proyecto De Diseño En Palermo. Apartamentos Monoambiente Y 1 Dormitorio A Estrenar O Con Renta. Azoteas Y Parrilleros De Uso Exclusivo,"Isla De Flores 1608, Montevideo, Palermo, Montevideo",87000,US$,1,1,1,26,https://http2.mlstatic.com/D_NQ_NP_2X_811694-MLU92776210864_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-875514122-proyecto-de-diseno-en-palermo-apartamentos-monoambiente-y-1-dormitorio-a-estrenar-o-con-renta-azoteas-y-parrilleros-de-uso-exclusivo-_JM
"Casas Con Piscina Climatizada, Cerramiento En Policarbonato.","Lantana, Neptunia Departamento De Canelones, Uruguay, Neptunia, Canelones",1,$,4,2,2,200,https://http2.mlstatic.com/D_NQ_NP_2X_986597-MLU76696575877_052024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-915799124-casas-con-piscina-climatizada-cerramiento-en-policarbonato-_JM
"Habitación, Residencia, Pensión, Alojamiento, Hogar, Cuartos","MERCEDES 1845, Centro, Montevideo",13500,$,N/A,5,5,300,https://http2.mlstatic.com/D_NQ_NP_2X_852595-MLU74294734819_012024-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-935676668-habitacion-residencia-pension-alojamiento-hogar-cuartos-_JM
Alquiler De Apartamento Tipo Duplex Dos Dormitorios En Calle La Paz. Cordón. Villa Muñoz,"La Paz 2016, Montevideo, Cordón, Montevideo",27000,$,2,2,2,48,https://http2.mlstatic.com/D_NQ_NP_2X_772098-MLU92978727843_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-907475640-alquiler-de-apartamento-tipo-duplex-dos-dormitorios-en-calle-la-paz-cordon-villa-munoz-_JM
"Alquilo Casas, En El Chuy,  En La Barra (alvorada)a 3 Cuadras De La Playa","Barra Del Chuy Rocha Department, Uruguay, Barra Del Chuy, Rocha",800,$,2,1,1,300,https://http2.mlstatic.com/D_NQ_NP_2X_755466-MLU51801315414_102022-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-852966262-alquilo-casas-en-el-chuy-en-la-barra-alvoradaa-3-cuadras-de-la-playa-_JM
Alquilo Muy Lindo Apto De 1dorm Y Patio Próx Al Mam,"Montevideo, Villa Muñoz",19900,$,1,1,1,45,https://http2.mlstatic.com/D_NQ_NP_2X_600040-MLU96639789666_112025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-889592932-alquilo-muy-lindo-apto-de-1dorm-y-patio-prox-al-mam-_JM
Casa Piriapolis Frente Al Mar,"Rambla De Los Argentinos 4600, Piriápolis, Maldonado",2000,$,2,1,1,300,https://http2.mlstatic.com/D_NQ_NP_2X_819257-MLU47035994300_082021-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-853041012-casa-piriapolis-frente-al-mar-_JM
Casa En Alquiler Temporal En Cuchilla Alta Canelones. Familiar .max 5 Personas. No Disponible En Fiestas. Leer Descripción,"Calle 23 21, Cuchilla Alta, Canelones",1800,$,2,1,1,60,https://http2.mlstatic.com/D_NQ_NP_2X_633204-MLU51842925320_102022-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-852465200-casa-en-alquiler-temporal-en-cuchilla-alta-canelones-familiar-max-5-personas-no-disponible-en-fiestas-leer-descripcion-_JM
Peñarol !!!! Se Alquila Muy Linda Y Cómoda Propiedad !!!,"PEÑAROL BIEN UBICADA 0000, Peñarol, Montevideo",15900,$,2,1,1,45,https://http2.mlstatic.com/D_NQ_NP_2X_624675-MLU90971183036_082025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-907586064-penarol-se-alquila-muy-linda-y-comoda-propiedad--_JM
"Residencia , Alojamiento , Cuartos , Habitaciones , Parque Rodo,estudiantes, Coliving, Excelente Ubicacion , Todas Las Facultades Cerca , Oportunidad , Vacantes Limitadas , Lugar Unico","Bv. España 2293, 11200 Montevideo, Departamento De Montevideo, Uruguay, Parque Rodó, Montevideo",10000,$,N/A,7,7,300,https://http2.mlstatic.com/D_NQ_NP_2X_995969-MLU82529802886_032025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-922133656-residencia-alojamiento-cuartos-habitaciones-parque-rodoestudiantes-coliving-excelente-ubicacion-todas-las-facultades-cerca-oportunidad-vacantes-limitadas-lugar-unico-_JM
